	id	start	type	timeframe	entry	outcome	RSI bounces	bounce length	bounce (pips)	inn_bounce	indecission	entry on RSI	length of trend (-1)	length in pips (-1)	last time	entry_aligned	retraced	Candle +1 against trade	trend_bounces	peak_bounces	s_r_bounces	is_sr_doubtful	adx	congestion_onleft	length of trend	No of candles	previous swings	space interswings	trend angle	stretches	strong trend	norm_length_pips	norm_bounce_pips	norm_retraced	diff	pips_ratio	pips_ratio_norm	length_bounce_perc	bounce_bias	bounce_ratio	sum_bounces	score
481	EUR_AUD 12DEC2014H12	2014-12-12 10:00:00	long	H12	1.50419	1	0	0	1146	4	1	1	28.0	7733.0	2014-01-03 00:00:00	1		FALSE	3.0	3.0	4.5											161.1	23.88		343	276.17857142857144	5.75	14.285714285714286	A	4.0	0	29
482	EUR_AUD 13JAN2015H12	2015-01-13 10:00:00	short	H12	1.44581	0	2	6,1	1301	5	2	1	22.0	5914.0	2014-01-11 00:00:00	1	495.0	FALSE	2.0	3.0	4.5											123.21	27.1	10.31	367	268.8181818181818	5.590909090909091	22.727272727272727	A	2.5	7	36
483	EUR_AUD 08JUN2015H12	2015-08-06 09:00:00	long	H12	1.46319	0	2	1,1	1375	6	1	0	17.0	6416.0	2015-01-02 00:00:00	1	1729.0	FALSE	1.0	3.0	4.5											133.67	28.65	36.02	216	377.4117647058824	7.823529411764706	35.294117647058826	A	6.0	2	10
484	EUR_AUD 28AUG2015H12	2015-08-28 09:00:00	long	H12	1.57863	0	1	6	8700	9	1	0	13.0	7438.0	2009-01-12 00:00:00	1	263.0	TRUE	0.0	3.0	4.5											154.96	181.25	5.48	2419	572.1538461538462	11.846153846153847	69.23076923076923	A	9.0	6	13
485	EUR_AUD 05MAY2016H12	2016-05-05 21:00:00	long	H12	1.5393	1	2	4,2	1329	6	1	1	13.0	7123.0	2016-01-02 00:00:00	1		FALSE	1.0	3.0	4.5											148.4	27.69		124	547.9230769230769	11.384615384615385	46.15384615384615	A	6.0	6	28
486	EUR_AUD 02MAY2017H12	2017-02-05 21:00:00	long	H12	1.45367	1	1	7	1467	12	1	0	22.0	5265.0	2016-01-10 00:00:00	1		FALSE	1.0	3.0	4.5											109.69	30.56		392	239.3181818181818	4.954545454545454	54.54545454545455	A	12.0	7	17
487	EUR_AUD 21JUN2018H12	2018-06-21 21:00:00	long	H12	1.5752700000000002	0	0	0	930	7	5	0	25.0	4590.0	2018-01-05 00:00:00	1		TRUE	1.0	3.0	4.5											95.62	19.38		167	183.6	3.8	28.0	A	1.4	0	6
488	EUR_AUD 01JAN2019H12	2019-01-01 22:00:00	long	H12	1.62796	1	2	4,8	1021	6	1	1	36.0	8480.0	2009-01-10 00:00:00	1		FALSE	2.0	3.0	4.5											176.67	21.27		3643	235.55555555555554	4.888888888888889	16.666666666666668	A	6.0	12	28
489	EUR_AUD 18JUN2013D	2013-06-17 23:00:00	long	D	1.4114	1	4	7,10,2,2	3022	7	1	1	58.0	18208.0	2010-01-08 00:00:00	1		FALSE	4.0	2.0	3.0											379.33	62.96		1256	313.9310344827586	6.5344827586206895	12.068965517241379	A	7.0	21	20
490	EUR_AUD 15AUG2013D	2013-08-14 23:00:00	long	D	1.46074	1	6	3,5,7,10,2,3	4817	12	2	0	94.0	23810.0	2010-03-15 00:00:00	1		FALSE	4.0	0.0	1.0											496.04	100.35		1248	253.29787234042553	5.276595744680851	12.76595744680851	A	6.0	30	12
491	EUR_AUD 23DEC2014D	2014-12-22 23:00:00	long	D	1.51004	0	1	6	2932	7	2	0	21.0	8094.0	2014-03-25 00:00:00	1		TRUE	0.0	2.0	4.0											168.62	61.08		272	385.42857142857144	8.0	33.333333333333336	A	3.5	6	10
492	EUR_AUD 01SEP2015D	2015-08-31 23:00:00	long	D	1.58369	1	1	3	8781	7	1	0	8.0	7691.0	2009-01-12 00:00:00	1		FALSE	0.0	0.0	1.0											160.23	182.94		2422	961.375	20.0	87.5	A	7.0	3	10
493	USD_CAD 25JAN2007H8	2007-01-25 14:00:00	long	H8	1.18136	1	1	6	715	10	18	0	119.0	5120.0	2015-01-11 00:00:00	1		FALSE	3.0	3.0	4.5											106.67	14.9		-2908	43.02521008403362	0.8907563025210085	8.403361344537815	A	0.5555555555555556	6	7
494	NZD_JPY 26MAY2010H12	2010-05-26 09:00:00	short	H12	60.073	0	2	2,4	1676	6	4	0	30.0	9166.0	2009-01-07 00:00:00	1		FALSE	1.0	4.0	5.0											190.96	34.92		504	305.53333333333336	6.333333333333333	20.0	A	1.5	6	3
