	id	start	type	timeframe	entry	outcome	RSI bounces	bounce length	bounce (pips)	inn_bounce	indecission	entry on RSI	length of trend (-1)	length in pips (-1)	last time	entry_aligned	retraced	Candle +1 against trade	trend_bounces	peak_bounces	s_r_bounces	is_sr_doubtful	adx	congestion_onleft	length of trend	No of candles	previous swings	space interswings	trend angle	stretches	strong trend	norm_length_pips	norm_bounce_pips	norm_retraced	diff	pips_ratio	pips_ratio_norm	length_bounce_perc	bounce_bias	bounce_ratio	sum_bounces	score
101	GBP_AUD 07OCT2011H12	2011-07-10 10:00:00	long	H12	1.5900100000000001	0	2	7,1	5575	14	4	0	42.0	8694.0	2011-01-08 00:00:00	0		FALSE	1.0	4.0	6.0				43.0	7.0	4.0	24,5,12	42.0		True	181.12	116.15		183	207.0	4.309523809523809	33.333333333333336	A	3.5	8	-7
102	GBP_AUD 07MAY2012H12	2012-07-05 22:00:00	long	H12	1.58899	1	4	1,1,8,5	780	4	1	1	117.0	13493.0	2011-01-11 00:00:00	0		FALSE	1.0	4.0	6.0				116.0	48.0	3.0	5,5	33.0		True	281.1	16.25		541	115.32478632478633	2.4017094017094016	3.4188034188034186	A	4.0	15	8
103	GBP_AUD 05DEC2017H12	2017-05-12 10:00:00	long	H12	1.7691599999999998	0	5	4,1,1,3,5	3415	11	13	0	124.0	13714.0	2016-01-06 00:00:00	0		TRUE	2.0	4.0	6.0				126.0	5.0	4.0	34,11,20	30.0		False	285.71	71.15		492	110.59677419354838	2.2983870967741935	8.870967741935484	A	0.8461538461538461	14	-8
104	GBP_AUD 04FEB2009H12	2009-04-02 10:00:00	long	H12	2.2538099999999996	0	2	2,4	5920	7	4	0	43.0	21539.0	2008-01-12 00:00:00	0		FALSE	1.0	4.0	6.0				44.0	4.0	3.0	8,6	34.0		False	448.73	123.33		446	500.90697674418607	10.418604651162791	16.27906976744186	A	1.75	6	-5
105	GBP_AUD 03AUG2017H12	2017-03-08 22:00:00	short	H12	1.65028	0	1	11	4540	25	8	0	123.0	11194.0	2017-01-03 00:00:00	0		FALSE	1.0	4.0	6.0				124.0	124.0	3.0	39,50	33.0		False	233.21	94.58		64	91.00813008130082	1.8943089430894309	20.32520325203252	A	3.125	11	-2
106	GBP_AUD 02JUN2016H12	2016-02-06 10:00:00	long	H12	2.00244	0	6	4,4,2,5,4,6	6310	22	1	0	59.0	17284.0	2016-01-02 00:00:00	0		TRUE	2.0	4.0	6.0				61.0	11.0	2.0	61	38.0		True	360.08	131.46		35	292.9491525423729	6.101694915254237	37.28813559322034	A	22.0	25	0
108	EUR_USD 28JUL2017H12	2017-07-28 10:00:00	long	H12	1.17241	1	8	2,1,1,4,1,1,1,4	955	5	7	0	159.0	11352.0	2015-01-01 00:00:00	0		FALSE	4.0	4.0	6.0				294.0	3.0	4.0	4,8,8	29.0		False	236.5	19.9		939	71.39622641509433	1.4842767295597483	3.1446540880503147	A	0.7142857142857143	15	-8
109	EUR_USD 23AUG2013H12	2013-08-23 10:00:00	long	H12	1.33721	0	0	0	1040	8	10	0	65.0	5964.0	2013-01-02 00:00:00	0	2000.0	TRUE	0.0	4.0	6.0				66.0		3.0	12,54	46.0		False	124.25	21.67	41.67	233	91.75384615384615	1.9076923076923078	12.307692307692308	A	0.8	0	-4
110	EUR_USD 22FEB2010H12	2010-02-22 10:00:00	short	H12	1.35824	0	7	1,5,5,4,1,2,2	1760	7	9	0	112.0	15422.0	2009-01-05 00:00:00	0	1500.0	FALSE	2.0	4.0	6.0				115.0	13.0	4.0	7,19,31	38.0		False	321.29	36.67	31.25	413	137.69642857142858	2.8660714285714284	6.25	A	0.7777777777777778	20	-4
111	EUR_USD 19OCT2009H12	2009-10-19 10:00:00	long	H12	1.49532	0	11	3,2,4,1,3,1,1,4,1,1,7	870	8	1	1	327.0	24485.0	2008-01-08 00:00:00	0		FALSE	2.0	4.0	6.0				328.0	3.0	3.0	17,46,23	31.0		False	510.1	18.12		650	74.8776758409786	1.5596330275229358	2.4464831804281344	A	8.0	28	11
115	EUR_USD 12APR2011H12	2011-12-04 10:00:00	long	H12	1.44708	0	4	3,1,1,1	613	5	1	0	132.0	15543.0	2009-01-12 00:00:00	0	2000.0	TRUE	2.0	4.0	6.0				134.0	4.0	8.0	9,12,15,8,24,11,50	34.0		False	323.81	12.77	41.67	1056	117.75	2.446969696969697	3.787878787878788	A	5.0	6	-7
116	EUR_USD 11OCT2011H12	2011-11-10 10:00:00	short	H12	1.35811	0	3	2,1,7	1200	28	12	0	61.0	9657.0	2011-01-01 00:00:00	0		TRUE	2.0	4.0	6.0				62.0	11.0	3.0	5,8	40.0		True	201.19	25.0		313	158.31147540983608	3.2950819672131146	45.90163934426229	A	2.3333333333333335	10	-8
117	EUR_USD 10NOV2014H12	2014-10-11 22:00:00	short	H12	1.24071	0	12	3,8,2,4,7,6,6,3,3,11,4,1	1350	9	9	0	264.0	15304.0	2012-01-08 00:00:00	0	970.0	FALSE	2.0	4.0	6.0				268.0	52.0	3.0	16,13	38.0		False	318.83	28.12	20.21	1007	57.96969696969697	1.2045454545454546	3.409090909090909	A	1.0	58	-9
119	EUR_USD 06JUL2010H12	2010-06-07 10:00:00	long	H12	1.26109	1	0	0	900	6	4	0	41.0	6708.0	2010-01-05 00:00:00	0		FALSE	1.0	4.0	6.0				39.0		2.0	9	35.0		True	139.75	18.75		153	163.609756097561	3.3902439024390243	14.634146341463415	A	1.5	0	-11
122	EUR_JPY 20SEP2012H12	2012-09-20 22:00:00	long	H12	101.719	0	2	8,2	2534	10	2	0	84.0	7139.0	2012-01-05 00:00:00	0	1335.0	FALSE	3.0	4.0	6.0				83.0	4.0	5.0	24,34,13,13	31.0		True	148.73	52.79	27.81	259	84.98809523809524	1.7619047619047619	11.904761904761905	A	5.0	10	-12
123	EUR_JPY 20AUG2008H12	2008-08-20 22:00:00	short	H12	161.459	0	3	3,1,3	1551	6	4	1	19.0	7625.0	2008-01-05 00:00:00	0	380.0	FALSE	0.0	4.0	6.0				19.0	3.0	2.0	19	59.0		True	158.85	32.31	7.92	228	401.3157894736842	8.31578947368421	31.57894736842105	A	1.5	7	7
126	EUR_JPY 11JUN2012H12	2012-11-06 10:00:00	short	H12	100.059	0	9	8,3,4,7,3,4,2,2,1	4929	27	2	0	100.0	10859.0	2012-01-01 00:00:00	0	506.0	FALSE	2.0	4.0	6.0				101.0	11.0	2.0	65	33.0		True	226.23	102.69	10.54	310	108.59	2.26	27.0	A	13.5	34	-2
130	EUR_JPY 02JAN2011H12	2011-02-01 22:00:00	short	H12	108.21600000000001	0	2	3,1	1090	8	7	0	58.0	6436.0	2010-01-09 00:00:00	0	1200.0	FALSE	1.0	4.0	6.0				60.0	6.0	3.0	25,34	37.0		False	134.08	22.71	25.0	388	110.96551724137932	2.310344827586207	13.793103448275861	A	1.1428571428571428	4	-11
131	EUR_JPY 01MAY2008H12	2008-01-05 22:00:00	long	H12	161.851	0	1	5	3497	23	9	0	67.0	7154.0	2007-01-12 00:00:00	0	1950.0	FALSE	1.0	4.0	6.0				68.0	14.0	3.0	27,21	40.0		False	149.04	72.85	40.62	358	106.77611940298507	2.2238805970149254	34.32835820895522	A	2.5555555555555554	5	-4
133	EUR_GBP 30MAY2017H12	2017-05-30 22:00:00	long	H12	0.87113	1	3	2,1,1	760	7	2	0	28.0	3119.0	2016-01-11 00:00:00	0		FALSE	3.0	4.0	6.0				25.0	5.0	4.0	7,8,13	50.0		True	64.98	15.83		505	111.39285714285714	2.2857142857142856	25.0	A	3.5	4	0
134	EUR_GBP 20JUN2011H12	2011-06-20 10:00:00	short	H12	0.8795	0	0	0	1100	9	4	0	16.0	1776.0	2011-01-05 00:00:00	0		TRUE	1.0	4.0	6.0				17.0		2.0	5	52.0		True	37.0	22.92		166	111.0	2.3125	56.25	A	2.25	0	-10
135	EUR_GBP 16MAR2011H12	2011-03-16 21:00:00	long	H12	0.87116	0	1	1	400	4	3	0	42.0	3442.0	2010-01-11 00:00:00	0	20.0	TRUE	2.0	4.0	6.0				37.0	3.0	5.0	10,12,10,4	51.0		False	71.71	8.33	0.42	429	81.95238095238095	1.6904761904761905	9.523809523809524	A	1.3333333333333333	1	8
136	EUR_GBP 15MAR2011H12	2011-03-15 09:00:00	long	H12	0.8677	1	0	0	300	5	1	0	39.0	3081.0	2010-01-11 00:00:00	0		FALSE	2.0	4.0	6.0				32.0		4.0	5,12,15	41.0		True	64.19	6.25		428	79.0	1.641025641025641	12.820512820512821	A	5.0	0	3
137	EUR_CAD 15OCT2018H12	2018-10-15 10:00:00	long	H12	1.5083	0	0	0	926	7	1	0	14.0	2919.0	2018-01-09 00:00:00	0	2307.0	TRUE	1.0	4.0	6.0											60.81	19.29	48.06	279	208.5	4.285714285714286	50.0	A	7.0	0	0
151	AUD_USD 29MAY2012H12	2012-05-29 22:00:00	short	H12	0.98075	1	5	4,4,4,3,3	1500	12	6	0	128.0	10704.0	2011-01-11 00:00:00	0		FALSE	0.0	4.0	6.0	1.0			118.0	8.0	2.0	44	42.0		False	223.0	31.25		504	83.625	1.7421875	9.375	A	2.0	18	-6
