	timeframe	id 1st peak	start 1st peak	entry 1st peak	S/L 1st peak	outcome 1st peak	retraced 1st peak	last time 1st peak	Candle +1 against trade 1st peak	RSI bounces 1st peak	RSI 1st peak	No of candles 1st peak	bounce length 1st peak	indecission 1st peak	divergence 1st peak	entry on RSI 1st peak	length of trend 1st peak	length in pips	bounces 1st peak	id 2nd peak	start 2nd peak	entry 2nd peak	S/L 2nd peak	outcome 2nd peak	retraced 2nd peak	RSI 2nd peak	divergence 2nd peak	valley	differential	diff	pips_ratio	rsi_inarea_1st	sum_bounces	score
104	H12	NZD_JPY 10JUL2017H12	2017-10-07 21:00:00	82.756	83.34700000000001	1		2015-01-06 00:00:00	0	5	71	2.0	1,3,2,3,1	1	1	0	71	6154	8	NZD_JPY 14JUL2017H12	14/07/2017 09:00	82.756	83.34700000000001	1		62	0	6	115	1005.0	86.67605633802818	1	10	4
105	H12	NZD_JPY 25MAR2018H12	2018-03-25 21:00:00	76.163	75.467	1		2016-01-10 00:00:00	0	1	36	30.0	6	2	1	0	73	4444	3	NZD_JPY 09MAY2018H12	09/05/2018 09:00	76.593	75.814	0	1172.0	28	0	65	-391	805.0	60.87671232876713	0	6	1
106	H12	NZD_JPY 13AUG2018H12	2018-08-13 21:00:00	73.148	72.285	1		2016-01-07 00:00:00	0	0	75	0.0	0	1	0	1	17	3203	4	NZD_JPY 16AUG2018H12	16/08/2018 09:00	73.148	72.35600000000001	1		25	0	6	-17	949.0	188.41176470588235	1	0	1
107	D	USD_CAD 11MAY2006D	2006-10-05 23:00:00	1.10382	1.0956700000000001	1		1999-01-01 00:00:00	0	2	24	1.0	3,7	1	1	0	26	7028	1	USD_CAD 06JUN2006D	05/06/2006 23:00	1.11151	1.09247	1		37	0	16	447	2834.0	270.3076923076923	1	10	2
108	D	USD_CAD 29OCT2008D	2008-10-28 23:00:00	1.27039	1.30552	1		2004-01-08 00:00:00	0	3	81	1.0	9,2,5	1	1	0	22	23808	2	USD_CAD 24NOV2008D	21/11/2008 23:00	1.27039	1.30552	1		68	0	17	-283	1755.0	1082.1818181818182	1	16	3
109	D	USD_CAD 31JAN2014D	2014-01-30 23:00:00	1.10979	1.12265	0	522.0	2009-01-07 00:00:00	0	3	78	10.0	4,2,3	1	0	1	69	8640	1	USD_CAD 03MAR2014D	28/02/2014 23:00	1.10458	1.11744	0	1127.0	62	0	19	-345	1849.0	125.21739130434783	1	9	1
110	D	USD_CAD 21MAR2016D	2016-03-18 23:00:00	1.3065799999999999	1.2901799999999999	0		2015-01-07 00:00:00	0	2	30	1.0	1,2	1	1	0	43	15432	3	USD_CAD 01APR2016D	31/03/2016 23:00	1.3065799999999999	1.28057	0		37	1	10	640	436.0	358.8837209302326	1	3	2
111	D	USD_CAD 27JUL2017D	2017-07-26 23:00:00	1.2539	1.2400799999999998	0	3358.0	2015-01-06 00:00:00	0	5	19	1.0	11,2,6,1,1	1	0	0	56	12036	2	USD_CAD 30AUG2017D	29/08/2017 23:00	1.25634	1.24252	0	3554.0	37	0	24	-200	932.0	214.92857142857142	1	21	2
112	D	EUR_CAD 12JUL2005D	2005-11-07 23:00:00	1.4691	1.44878	1		2002-01-06 00:00:00	0	6	26	1.0	2,1,2,3,1,4	1	0	0	33	12422	1	EUR_CAD 01SEP2005D	31/08/2005 23:00	1.4691	0.44878	0		34	0	36	0	1401.0	376.42424242424244	1	13	3
113	D	EUR_CAD 08DEC2005D	2005-07-12 23:00:00	1.37202	1.35405	1		2001-01-07 00:00:00	0	3	32	46.0	5,1,2	3	0	0	67	12400	2	EUR_CAD 08FEB2006D	07/02/2006 23:00	1.38342	1.36545	0	1637.0	39	0	41	-1422	1647.0	185.07462686567163	0	8	0
114	D	EUR_CAD 09APR2010D	2010-08-04 23:00:00	1.3493899999999999	1.3279	0		2001-01-07 00:00:00	0	10	24	1.0	4,7,1,2,1,5,4,1,3,7	2	0	0	88	24539	3	EUR_CAD 27APR2010D	26/04/2010 23:00	1.3451600000000001	1.32196	0		31	0	11	848	3496.0	278.85227272727275	1	35	3
